angle,x,y
90.0,300.0,353.0
90.0,300.0,356.0
90.0,300.0,359.0
90.0,300.0,362.0
90.0,300.0,365.0
90.0,300.0,368.0
90.0,300.0,371.0
90.0,300.0,374.0
90.0,300.0,377.0
90.0,300.0,380.0
90.0,300.0,383.0
90.0,300.0,386.0
90.0,300.0,389.0
90.0,300.0,392.0
90.0,300.0,395.0
90.0,300.0,398.0
-90.0,300.0,398.0
-90.0,300.0,395.0
-90.0,300.0,392.0
-90.0,300.0,389.0
-90.0,300.0,386.0
-90.0,300.0,383.0
-90.0,300.0,380.0
-90.0,300.0,377.0
-90.0,300.0,374.0
-90.0,300.0,371.0
-90.0,300.0,368.0
-90.0,300.0,365.0
-90.0,300.0,362.0
-90.0,300.0,359.0
-90.0,300.0,356.0
-90.0,300.0,353.0
-90.0,300.0,350.0
-90.0,300.0,347.0
-90.0,300.0,344.0
-90.0,300.0,341.0
-90.0,300.0,338.0
-90.0,300.0,335.0
-90.0,300.0,332.0
-90.0,300.0,329.0
-90.0,300.0,326.0
-90.0,300.0,323.0
-90.0,300.0,320.0
-90.0,300.0,317.0
-90.0,300.0,314.0
-90.0,300.0,311.0
-90.0,300.0,308.0
-90.0,300.0,305.0
-90.0,300.0,302.0
-90.0,300.0,299.0
-90.0,300.0,296.0
-90.0,300.0,293.0
-90.0,300.0,290.0
-90.0,300.0,287.0
-90.0,300.0,284.0
-90.0,300.0,281.0
-90.0,300.0,278.0
-90.0,300.0,275.0
-90.0,300.0,272.0
-90.0,300.0,269.0
-90.0,300.0,266.0
-90.0,300.0,263.0
-90.0,300.0,260.0
-90.0,300.0,257.0
-90.0,300.0,254.0
-90.0,300.0,251.0
-90.0,300.0,248.0
-90.0,300.0,245.0
-90.0,300.0,242.0
-90.0,300.0,239.0
-90.0,300.0,236.0
-90.0,300.0,233.0
-90.0,300.0,230.0
-90.0,300.0,227.0
-90.0,300.0,224.0
-90.0,300.0,221.0
-90.0,300.0,218.0
-90.0,300.0,215.0
-90.0,300.0,212.0
-90.0,300.0,209.0
-90.0,300.0,206.0
-90.0,300.0,203.0
-90.0,300.0,200.0
-90.0,300.0,197.0
-90.0,300.0,194.0
-90.0,300.0,191.0
-90.0,300.0,188.0
-90.0,300.0,185.0
-90.0,300.0,182.0
-90.0,300.0,179.0
-90.0,300.0,176.0
